company,top_topic,P_0,RD_0,P_1,RD_1,P_2,RD_2,P_3,RD_3,P_4,RD_4,P_5,RD_5,P_6,RD_6,year
平安银行,1,0.000019 ,0.000019 ,0.999902 ,2.325150 ,0.000013 ,0.000013 ,0.000016 ,0.000016 ,0.000017 ,0.000017 ,0.000017 ,0.000017 ,0.000017 ,0.000017 ,2024
万科A,4,0.000037 ,0.000037 ,0.321415 ,0.327681 ,0.000026 ,0.000026 ,0.000032 ,0.000032 ,0.678423 ,0.758242 ,0.000034 ,0.000034 ,0.000033 ,0.000033 ,2024
深物业A,3,0.000147 ,0.000147 ,0.161535 ,0.162274 ,0.000104 ,0.000104 ,0.735453 ,0.845755 ,0.102494 ,0.102678 ,0.000135 ,0.000135 ,0.000132 ,0.000132 ,2024
沙河股份,2,0.039118 ,0.039128 ,0.000480 ,0.000480 ,0.516938 ,0.546740 ,0.000743 ,0.000744 ,0.000770 ,0.000770 ,0.000798 ,0.000798 ,0.441153 ,0.458613 ,2024
特  力Ａ,6,0.220847 ,0.222782 ,0.111458 ,0.111697 ,0.000123 ,0.000123 ,0.000149 ,0.000149 ,0.000154 ,0.000155 ,0.000160 ,0.000160 ,0.667108 ,0.741907 ,2024
飞亚达,6,0.000343 ,0.000343 ,0.000190 ,0.000190 ,0.000242 ,0.000242 ,0.000294 ,0.000294 ,0.458537 ,0.478394 ,0.000316 ,0.000316 ,0.540077 ,0.574755 ,2024
深深房Ａ,4,0.000230 ,0.000230 ,0.071831 ,0.071894 ,0.210098 ,0.211757 ,0.000197 ,0.000197 ,0.473141 ,0.495198 ,0.244295 ,0.246942 ,0.000207 ,0.000207 ,2024
神州数码,4,0.461852 ,0.482193 ,0.000061 ,0.000061 ,0.000077 ,0.000077 ,0.000094 ,0.000094 ,0.537716 ,0.571870 ,0.000101 ,0.000101 ,0.000099 ,0.000099 ,2024
中集集团,6,0.072771 ,0.072837 ,0.000026 ,0.000026 ,0.000033 ,0.000033 ,0.000040 ,0.000040 ,0.000042 ,0.000042 ,0.216952 ,0.218784 ,0.710134 ,0.805734 ,2024
深纺织Ａ,3,0.000098 ,0.000098 ,0.000054 ,0.000054 ,0.000069 ,0.000069 ,0.532899 ,0.566002 ,0.223594 ,0.225605 ,0.243197 ,0.245806 ,0.000088 ,0.000088 ,2024
京基智农,0,0.556055 ,0.594461 ,0.000049 ,0.000049 ,0.000063 ,0.000063 ,0.000076 ,0.000076 ,0.443595 ,0.461378 ,0.000082 ,0.000082 ,0.000080 ,0.000080 ,2024
深天马Ａ,5,0.000181 ,0.000181 ,0.000100 ,0.000100 ,0.000127 ,0.000127 ,0.000155 ,0.000155 ,0.227151 ,0.229262 ,0.772123 ,0.907834 ,0.000163 ,0.000163 ,2024
深 赛 格,4,0.000167 ,0.000167 ,0.000093 ,0.000093 ,0.357702 ,0.366518 ,0.186200 ,0.187342 ,0.455534 ,0.474959 ,0.000154 ,0.000154 ,0.000151 ,0.000151 ,2024
深圳华强,4,0.335475 ,0.342655 ,0.000033 ,0.000033 ,0.000042 ,0.000041 ,0.000050 ,0.000050 ,0.664293 ,0.737890 ,0.000054 ,0.000054 ,0.000053 ,0.000053 ,2024
